"","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","April 29 2017
Pier A,
April 29, 2017"
Total mass of scrubbed substrate shell + oysters + tag (g),161.8,0,0,21,29,0,38,0,62.3,4.5,0,0,0,0,0
Measurements (mm),"86,69",,,"5,25","35.5,25.4,24.5",,"35,18,32,53","66,71,65,71,75,45,36","41,34,37,40,25,25","20,16",82.51,"5.2,4.5,5.1,3.5,3.5,3.2,5.5,5.1,5.3,4.5",,52.98,"25,21,11,4"
Minimum size of live oysters (mm),69,,,5,24.5,0,18,36,25,16,82.51,3.2,,52.98,4
Maximum size of live oysters (mm),86,,,25,35.5,0,53,75,41,20,82.51,5.5,,52.98,25
Average size of live oysters (mm),77.5,,,15,28.46666666666667,0,34.5,61.285714285714285,33.666666666666664,18,82.51,4.539999999999999,,52.98,15.25
Substrate Shell #3,,,,,,,,,,,,,,,
Outer side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2175edecbc08354bf1b528bcf0bd2502.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/3bad58e4aacd07478b6eae3eaa733724.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9f0e13864f3af343dca93985dd019007.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/93e8e5fe95552da90e004652deb0e69c.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a2701f698f8f5df0946fc41386676dec.JPG
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates90599baea02e025a9b4deb5c86830e5a.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa2bcf0cd3c20aabe7ccd2cfeb313d867.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates57dc245c70444fe20333d04d321a3a43.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3f23950c72c84c98824d02c66e1bf907.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates73d27c2430c63862b0c1c43eaad309c5.JPG
Set date,9/14/16,,9/14/16,7/15/15,6/9/16,,7/31/15,7/15/15,7/31/15,7/15/15,1/1/70,10/20/16,,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Bronx River, New York",,"Muscongus Bay, Maine","Muscongus Bay, Maine"
